arith.divider_active, 0x114
offcore_response.demand_code_rd.l3_hit_m.snoop_non_dram_1, 0x1bb, 0x2000040004
offcore_response.demand_code_rd.l3_hit_m.snoop_none_0, 0x1b7, 0x80040004
offcore_response.demand_code_rd.l3_hit_m.snoop_none_1, 0x1bb, 0x80040004
offcore_response.demand_code_rd.l3_hit_m.snoop_not_needed_0, 0x1b7, 0x100040004
offcore_response.demand_code_rd.l3_hit_m.snoop_not_needed_1, 0x1bb, 0x100040004
offcore_response.demand_code_rd.l3_hit_m.spl_hit_0, 0x1b7, 0x40040004
offcore_response.demand_code_rd.l3_hit_m.spl_hit_1, 0x1bb, 0x40040004
offcore_response.demand_code_rd.l3_hit_s.any_snoop_0, 0x1b7, 0x3fc0100004
offcore_response.demand_code_rd.l3_hit_s.any_snoop_1, 0x1bb, 0x3fc0100004
offcore_response.demand_code_rd.l3_hit_s.snoop_hit_no_fwd_0, 0x1b7, 0x400100004
offcore_response.demand_code_rd.l3_hit_s.snoop_hit_no_fwd_1, 0x1bb, 0x400100004
offcore_response.demand_code_rd.l3_hit_s.snoop_hitm_0, 0x1b7, 0x1000100004
offcore_response.demand_code_rd.l3_hit_s.snoop_hitm_1, 0x1bb, 0x1000100004
offcore_response.demand_code_rd.l3_hit_s.snoop_miss_0, 0x1b7, 0x200100004
offcore_response.demand_code_rd.l3_hit_s.snoop_miss_1, 0x1bb, 0x200100004
offcore_response.demand_code_rd.l3_hit_s.snoop_non_dram_0, 0x1b7, 0x2000100004
offcore_response.demand_code_rd.l3_hit_s.snoop_non_dram_1, 0x1bb, 0x2000100004
offcore_response.demand_code_rd.l3_hit_s.snoop_none_0, 0x1b7, 0x80100004
offcore_response.demand_code_rd.l3_hit_s.snoop_none_1, 0x1bb, 0x80100004
offcore_response.demand_code_rd.l3_hit_s.snoop_not_needed_0, 0x1b7, 0x100100004
offcore_response.demand_code_rd.l3_hit_s.snoop_not_needed_1, 0x1bb, 0x100100004
offcore_response.demand_code_rd.l3_hit_s.spl_hit_0, 0x1b7, 0x40100004
