offcore_response.demand_data_rd.llc_hit_no_other_core, 0x1b7, 0x101
offcore_response.demand_data_rd.llc_hit_other_core_hit, 0x1b7, 0x201
offcore_response.demand_data_rd.llc_hit_other_core_hitm, 0x1b7, 0x401
offcore_response.demand_data_rd.local_cache, 0x1b7, 0x701
offcore_response.demand_data_rd.local_cache_dram, 0x1b7, 0x4701
offcore_response.demand_data_rd.local_dram, 0x1b7, 0x4001
offcore_response.demand_data_rd.remote_cache, 0x1b7, 0x1801
offcore_response.demand_data_rd.remote_cache_dram, 0x1b7, 0x3801
offcore_response.demand_data_rd.remote_cache_hit, 0x1b7, 0x1001
offcore_response.demand_data_rd.remote_cache_hitm, 0x1b7, 0x801
offcore_response.demand_data_rd.remote_dram, 0x1b7, 0x2001
offcore_response.demand_ifetch.any_cache_dram, 0x1b7, 0x7f04
offcore_response.demand_ifetch.any_dram, 0x1b7, 0x6004
offcore_response.demand_ifetch.any_llc_miss, 0x1b7, 0xf804
offcore_response.demand_ifetch.any_location, 0x1b7, 0xff04
offcore_response.demand_ifetch.io_csr_mmio, 0x1b7, 0x8004
offcore_response.demand_ifetch.llc_hit_no_other_core, 0x1b7, 0x104
offcore_response.demand_ifetch.llc_hit_other_core_hit, 0x1b7, 0x204
offcore_response.demand_ifetch.llc_hit_other_core_hitm, 0x1b7, 0x404
offcore_response.demand_ifetch.local_cache, 0x1b7, 0x704
offcore_response.demand_ifetch.local_cache_dram, 0x1b7, 0x4704
offcore_response.demand_ifetch.local_dram, 0x1b7, 0x4004
offcore_response.demand_ifetch.remote_cache, 0x1b7, 0x1804
offcore_response.demand_ifetch.remote_cache_dram, 0x1b7, 0x3804
offcore_response.demand_ifetch.remote_cache_hit, 0x1b7, 0x1004
offcore_response.demand_ifetch.remote_cache_hitm, 0x1b7, 0x804
offcore_response.demand_ifetch.remote_dram, 0x1b7, 0x2004
offcore_response.demand_rfo.any_cache_dram, 0x1b7, 0x7f02
offcore_response.demand_rfo.any_dram, 0x1b7, 0x6002
offcore_response.demand_rfo.any_llc_miss, 0x1b7, 0xf802
offcore_response.demand_rfo.any_location, 0x1b7, 0xff02
offcore_response.demand_rfo.io_csr_mmio, 0x1b7, 0x8002
offcore_response.demand_rfo.llc_hit_no_other_core, 0x1b7, 0x102
offcore_response.demand_rfo.llc_hit_other_core_hit, 0x1b7, 0x202
offcore_response.demand_rfo.llc_hit_other_core_hitm, 0x1b7, 0x402
offcore_response.demand_rfo.local_cache, 0x1b7, 0x702
offcore_response.demand_rfo.local_cache_dram, 0x1b7, 0x4702
offcore_response.demand_rfo.local_dram, 0x1b7, 0x4002
offcore_response.demand_rfo.remote_cache, 0x1b7, 0x1802
offcore_response.demand_rfo.remote_cache_dram, 0x1b7, 0x3802
offcore_response.demand_rfo.remote_cache_hit, 0x1b7, 0x1002
offcore_response.demand_rfo.remote_cache_hitm, 0x1b7, 0x802
offcore_response.demand_rfo.remote_dram, 0x1b7, 0x2002
offcore_response.other.any_cache_dram, 0x1b7, 0x7f80
offcore_response.other.any_dram, 0x1b7, 0x6080
offcore_response.other.any_llc_miss, 0x1b7, 0xf880
offcore_response.other.any_location, 0x1b7, 0xff80
offcore_response.other.io_csr_mmio, 0x1b7, 0x8080
offcore_response.other.llc_hit_no_other_core, 0x1b7, 0x180
offcore_response.other.llc_hit_other_core_hit, 0x1b7, 0x280
offcore_response.other.llc_hit_other_core_hitm, 0x1b7, 0x480
offcore_response.other.local_cache, 0x1b7, 0x780
offcore_response.other.local_cache_dram, 0x1b7, 0x4780
offcore_response.other.remote_cache, 0x1b7, 0x1880
offcore_response.other.remote_cache_dram, 0x1b7, 0x3880
offcore_response.other.remote_cache_hit, 0x1b7, 0x1080
offcore_response.other.remote_cache_hitm, 0x1b7, 0x880
offcore_response.other.remote_dram, 0x1b7, 0x2080
offcore_response.pf_data.any_cache_dram, 0x1b7, 0x7f30
offcore_response.pf_data.any_dram, 0x1b7, 0x6030
offcore_response.pf_data.any_llc_miss, 0x1b7, 0xf830
offcore_response.pf_data.any_location, 0x1b7, 0xff30
offcore_response.pf_data.io_csr_mmio, 0x1b7, 0x8030
offcore_response.pf_data.llc_hit_no_other_core, 0x1b7, 0x130
offcore_response.pf_data.llc_hit_other_core_hit, 0x1b7, 0x230
offcore_response.pf_data.llc_hit_other_core_hitm, 0x1b7, 0x430
offcore_response.pf_data.local_cache, 0x1b7, 0x730
offcore_response.pf_data.local_cache_dram, 0x1b7, 0x4730
offcore_response.pf_data.local_dram, 0x1b7, 0x4030
offcore_response.pf_data.remote_cache, 0x1b7, 0x1830
offcore_response.pf_data.remote_cache_dram, 0x1b7, 0x3830
offcore_response.pf_data.remote_cache_hit, 0x1b7, 0x1030
offcore_response.pf_data.remote_cache_hitm, 0x1b7, 0x830
offcore_response.pf_data.remote_dram, 0x1b7, 0x2030
offcore_response.pf_data_rd.any_cache_dram, 0x1b7, 0x7f10
offcore_response.pf_data_rd.any_dram, 0x1b7, 0x6010
offcore_response.pf_data_rd.any_llc_miss, 0x1b7, 0xf810
offcore_response.pf_data_rd.any_location, 0x1b7, 0xff10
offcore_response.pf_data_rd.io_csr_mmio, 0x1b7, 0x8010
offcore_response.pf_data_rd.llc_hit_no_other_core, 0x1b7, 0x110
offcore_response.pf_data_rd.llc_hit_other_core_hit, 0x1b7, 0x210
offcore_response.pf_data_rd.llc_hit_other_core_hitm, 0x1b7, 0x410
offcore_response.pf_data_rd.local_cache, 0x1b7, 0x710
offcore_response.pf_data_rd.local_cache_dram, 0x1b7, 0x4710
offcore_response.pf_data_rd.local_dram, 0x1b7, 0x4010
offcore_response.pf_data_rd.remote_cache, 0x1b7, 0x1810
offcore_response.pf_data_rd.remote_cache_dram, 0x1b7, 0x3810
offcore_response.pf_data_rd.remote_cache_hit, 0x1b7, 0x1010
offcore_response.pf_data_rd.remote_cache_hitm, 0x1b7, 0x810
offcore_response.pf_data_rd.remote_dram, 0x1b7, 0x2010
offcore_response.pf_ifetch.any_cache_dram, 0x1b7, 0x7f40
offcore_response.pf_ifetch.any_dram, 0x1b7, 0x6040
offcore_response.pf_ifetch.any_llc_miss, 0x1b7, 0xf840
offcore_response.pf_ifetch.any_location, 0x1b7, 0xff40
offcore_response.pf_ifetch.io_csr_mmio, 0x1b7, 0x8040
offcore_response.pf_ifetch.llc_hit_no_other_core, 0x1b7, 0x140
offcore_response.pf_ifetch.llc_hit_other_core_hit, 0x1b7, 0x240
offcore_response.pf_ifetch.llc_hit_other_core_hitm, 0x1b7, 0x440
offcore_response.pf_ifetch.local_cache, 0x1b7, 0x740
offcore_response.pf_ifetch.local_cache_dram, 0x1b7, 0x4740
offcore_response.pf_ifetch.local_dram, 0x1b7, 0x4040
offcore_response.pf_ifetch.remote_cache, 0x1b7, 0x1840
offcore_response.pf_ifetch.remote_cache_dram, 0x1b7, 0x3840
offcore_response.pf_ifetch.remote_cache_hit, 0x1b7, 0x1040
offcore_response.pf_ifetch.remote_cache_hitm, 0x1b7, 0x840
offcore_response.pf_ifetch.remote_dram, 0x1b7, 0x2040
offcore_response.pf_rfo.any_cache_dram, 0x1b7, 0x7f20
offcore_response.pf_rfo.any_dram, 0x1b7, 0x6020
offcore_response.pf_rfo.any_llc_miss, 0x1b7, 0xf820
offcore_response.pf_rfo.any_location, 0x1b7, 0xff20
offcore_response.pf_rfo.io_csr_mmio, 0x1b7, 0x8020
offcore_response.pf_rfo.llc_hit_no_other_core, 0x1b7, 0x120
offcore_response.pf_rfo.llc_hit_other_core_hit, 0x1b7, 0x220
offcore_response.pf_rfo.llc_hit_other_core_hitm, 0x1b7, 0x420
offcore_response.pf_rfo.local_cache, 0x1b7, 0x720
offcore_response.pf_rfo.local_cache_dram, 0x1b7, 0x4720
offcore_response.pf_rfo.local_dram, 0x1b7, 0x4020
offcore_response.pf_rfo.remote_cache, 0x1b7, 0x1820
offcore_response.pf_rfo.remote_cache_dram, 0x1b7, 0x3820
offcore_response.pf_rfo.remote_cache_hit, 0x1b7, 0x1020
offcore_response.pf_rfo.remote_cache_hitm, 0x1b7, 0x820
offcore_response.pf_rfo.remote_dram, 0x1b7, 0x2020
offcore_response.prefetch.any_cache_dram, 0x1b7, 0x7f70
offcore_response.prefetch.any_dram, 0x1b7, 0x6070
offcore_response.prefetch.any_llc_miss, 0x1b7, 0xf870
offcore_response.prefetch.any_location, 0x1b7, 0xff70
offcore_response.prefetch.io_csr_mmio, 0x1b7, 0x8070
offcore_response.prefetch.llc_hit_no_other_core, 0x1b7, 0x170
offcore_response.prefetch.llc_hit_other_core_hit, 0x1b7, 0x270
offcore_response.prefetch.llc_hit_other_core_hitm, 0x1b7, 0x470
offcore_response.prefetch.local_cache, 0x1b7, 0x770
offcore_response.prefetch.local_cache_dram, 0x1b7, 0x4770
offcore_response.prefetch.local_dram, 0x1b7, 0x4070
offcore_response.prefetch.remote_cache, 0x1b7, 0x1870
offcore_response.prefetch.remote_cache_dram, 0x1b7, 0x3870
offcore_response.prefetch.remote_cache_hit, 0x1b7, 0x1070
offcore_response.prefetch.remote_cache_hitm, 0x1b7, 0x870
offcore_response.prefetch.remote_dram, 0x1b7, 0x2070
partial_address_alias, 0x107
rat_stalls.any, 0xfd2
rat_stalls.flags, 0x1d2
rat_stalls.registers, 0x2d2
rat_stalls.rob_read_port, 0x4d2
rat_stalls.scoreboard, 0x8d2
resource_stalls.any, 0x1a2
resource_stalls.fpcw, 0x20a2
resource_stalls.load, 0x2a2
resource_stalls.mxcsr, 0x40a2
resource_stalls.other, 0x80a2
resource_stalls.rob_full, 0x10a2
resource_stalls.rs_full, 0x4a2
resource_stalls.store, 0x8a2
sb_drain.any, 0x704
seg_rename_stalls, 0x1d4
simd_int_128.pack, 0x412
simd_int_128.packed_arith, 0x2012
simd_int_128.packed_logical, 0x1012
simd_int_128.packed_mpy, 0x112
simd_int_128.packed_shift, 0x212
simd_int_128.shuffle_move, 0x4012
simd_int_128.unpack, 0x812
simd_int_64.pack, 0x4fd
simd_int_64.packed_arith, 0x20fd
simd_int_64.packed_logical, 0x10fd
simd_int_64.packed_mpy, 0x1fd
simd_int_64.packed_shift, 0x2fd
simd_int_64.shuffle_move, 0x40fd
simd_int_64.unpack, 0x8fd
snoop_response.hit, 0x1b8
snoop_response.hite, 0x2b8
snoop_response.hitm, 0x4b8
sq_full_stall_cycles, 0x1f6
sq_misc.split_lock, 0x10f4
ssex_uops_retired.packed_double, 0x4c7
ssex_uops_retired.packed_single, 0x1c7
ssex_uops_retired.scalar_double, 0x8c7
ssex_uops_retired.scalar_single, 0x2c7
ssex_uops_retired.vector_integer, 0x10c7
store_blocks.at_ret, 0x406
store_blocks.l1d_block, 0x806
two_uop_insts_decoded, 0x119
uop_unfusion, 0x1db
uops_decoded.esp_folding, 0x4d1
uops_decoded.esp_sync, 0x8d1
uops_decoded.ms_cycles_active, 0x2d1
uops_decoded.stall_cycles, 0x1d1
uops_executed.core_active_cycles, 0x3fb1
uops_executed.core_active_cycles_no_port5, 0x1fb1
uops_executed.core_stall_count, 0x3fb1
uops_executed.core_stall_count_no_port5, 0x1fb1
uops_executed.core_stall_cycles, 0x3fb1
uops_executed.core_stall_cycles_no_port5, 0x1fb1
uops_executed.port0, 0x1b1
uops_executed.port015, 0x40b1
uops_executed.port015_stall_cycles, 0x40b1
