RESOURCE_STALLS.SB, 0x8a2
RESOURCE_STALLS.SCOREBOARD, 0x2a2
RS.EMPTY, 0x7a5
RS.EMPTY_COUNT, 0x7a5
RS.EMPTY_RESOURCE, 0x1a5
RS_EMPTY.COUNT, 0x7a5
RS_EMPTY.CYCLES, 0x7a5
SERIALIZATION.C01_MS_SCB, 0x475
SERIALIZATION.NON_C01_MS_SCB, 0x275
TOPDOWN.BACKEND_BOUND_SLOTS, 0x2a4
TOPDOWN.BAD_SPEC_SLOTS, 0x4a4
TOPDOWN.BR_MISPREDICT_SLOTS, 0x8a4
TOPDOWN.MEMORY_BOUND_SLOTS, 0x10a4
TOPDOWN.SLOTS_P, 0x1a4
TOPDOWN_BAD_SPECULATION.ALL, 0x73
TOPDOWN_BAD_SPECULATION.FASTNUKE, 0x273
TOPDOWN_BAD_SPECULATION.MACHINE_CLEARS, 0x373
TOPDOWN_BAD_SPECULATION.MISPREDICT, 0x473
TOPDOWN_BAD_SPECULATION.NUKE, 0x173
TOPDOWN_BE_BOUND.ALL, 0x74
TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS, 0x174
TOPDOWN_BE_BOUND.MEM_SCHEDULER, 0x274
TOPDOWN_BE_BOUND.NON_MEM_SCHEDULER, 0x874
TOPDOWN_BE_BOUND.REGISTER, 0x2074
TOPDOWN_BE_BOUND.REORDER_BUFFER, 0x4074
TOPDOWN_BE_BOUND.SERIALIZATION, 0x1074
TOPDOWN_FE_BOUND.ALL, 0x71
TOPDOWN_FE_BOUND.BRANCH_DETECT, 0x271
TOPDOWN_FE_BOUND.BRANCH_RESTEER, 0x4071
TOPDOWN_FE_BOUND.CISC, 0x171
TOPDOWN_FE_BOUND.DECODE, 0x871
TOPDOWN_FE_BOUND.FRONTEND_BANDWIDTH, 0x8d71
TOPDOWN_FE_BOUND.FRONTEND_LATENCY, 0x7271
TOPDOWN_FE_BOUND.ITLB, 0x1071
TOPDOWN_FE_BOUND.OTHER, 0x8071
TOPDOWN_FE_BOUND.PREDECODE, 0x471
TOPDOWN_RETIRING.ALL, 0xc2
UOPS_DECODED.DEC0_UOPS, 0x176
UOPS_DISPATCHED.PORT_0, 0x1b2
UOPS_DISPATCHED.PORT_1, 0x2b2
UOPS_DISPATCHED.PORT_2_3_10, 0x4b2
UOPS_DISPATCHED.PORT_4_9, 0x10b2
UOPS_DISPATCHED.PORT_5_11, 0x20b2
UOPS_DISPATCHED.PORT_6, 0x40b2
UOPS_DISPATCHED.PORT_7_8, 0x80b2
UOPS_EXECUTED.CORE_CYCLES_GE_1, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_2, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_3, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_4, 0x2b1
UOPS_EXECUTED.CYCLES_GE_1, 0x1b1
UOPS_EXECUTED.CYCLES_GE_2, 0x1b1
UOPS_EXECUTED.CYCLES_GE_3, 0x1b1
UOPS_EXECUTED.CYCLES_GE_4, 0x1b1
UOPS_EXECUTED.STALLS, 0x1b1
UOPS_EXECUTED.STALL_CYCLES, 0x1b1
UOPS_EXECUTED.THREAD, 0x1b1
UOPS_EXECUTED.X87, 0x10b1
UOPS_ISSUED.ANY, 0xe
UOPS_ISSUED.ANY, 0x1ae
UOPS_ISSUED.CYCLES, 0x1ae
UOPS_RETIRED.ALL, 0xc2
UOPS_RETIRED.CYCLES, 0x2c2
UOPS_RETIRED.HEAVY, 0x1c2
UOPS_RETIRED.IDIV, 0x10c2
UOPS_RETIRED.MS, 0x1c2
UOPS_RETIRED.MS, 0x4c2
UOPS_RETIRED.SLOTS, 0x2c2
UOPS_RETIRED.STALLS, 0x2c2
UOPS_RETIRED.STALL_CYCLES, 0x2c2
UOPS_RETIRED.X87, 0x2c2
L1D.HWPF_MISS, 0x2051
L1D.REPLACEMENT, 0x151
L1D_PEND_MISS.FB_FULL, 0x248
L1D_PEND_MISS.FB_FULL_PERIODS, 0x248
L1D_PEND_MISS.L2_STALL, 0x448
L1D_PEND_MISS.L2_STALLS, 0x448
L1D_PEND_MISS.PENDING, 0x148
L1D_PEND_MISS.PENDING_CYCLES, 0x148
L2_LINES_IN.ALL, 0x1f25
L2_LINES_OUT.NON_SILENT, 0x226
L2_LINES_OUT.SILENT, 0x126
L2_LINES_OUT.USELESS_HWPF, 0x426
L2_REQUEST.ALL, 0x24
L2_REQUEST.ALL, 0xff24
L2_REQUEST.HIT, 0x224
L2_REQUEST.MISS, 0x124
L2_REQUEST.MISS, 0x3f24
L2_RQSTS.ALL_CODE_RD, 0xe424
L2_RQSTS.ALL_DEMAND_DATA_RD, 0xe124
L2_RQSTS.ALL_DEMAND_MISS, 0x2724
L2_RQSTS.ALL_HWPF, 0xf024
L2_RQSTS.ALL_RFO, 0xe224
L2_RQSTS.CODE_RD_HIT, 0xc424
L2_RQSTS.CODE_RD_MISS, 0x2424
L2_RQSTS.DEMAND_DATA_RD_HIT, 0xc124
L2_RQSTS.DEMAND_DATA_RD_MISS, 0x2124
L2_RQSTS.HWPF_MISS, 0x3024
L2_RQSTS.MISS, 0x3f24
L2_RQSTS.REFERENCES, 0xff24
L2_RQSTS.RFO_HIT, 0xc224
L2_RQSTS.RFO_MISS, 0x2224
L2_RQSTS.SWPF_HIT, 0xc824
L2_RQSTS.SWPF_MISS, 0x2824
L2_TRANS.L2_WB, 0x4023
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_BOUND_STALLS.IFETCH, 0x3834
MEM_BOUND_STALLS.IFETCH_DRAM_HIT, 0x2034
MEM_BOUND_STALLS.IFETCH_L2_HIT, 0x834
MEM_BOUND_STALLS.IFETCH_LLC_HIT, 0x1034
MEM_BOUND_STALLS.LOAD, 0x734
MEM_BOUND_STALLS.LOAD_DRAM_HIT, 0x434
MEM_BOUND_STALLS.LOAD_L2_HIT, 0x134
MEM_BOUND_STALLS.LOAD_LLC_HIT, 0x234
MEM_INST_RETIRED.ALL_LOADS, 0x81d0
MEM_INST_RETIRED.ALL_STORES, 0x82d0
MEM_INST_RETIRED.ANY, 0x83d0
MEM_INST_RETIRED.LOCK_LOADS, 0x21d0
MEM_INST_RETIRED.SPLIT_LOADS, 0x41d0
MEM_INST_RETIRED.SPLIT_STORES, 0x42d0
MEM_INST_RETIRED.STLB_MISS_LOADS, 0x11d0
MEM_INST_RETIRED.STLB_MISS_STORES, 0x12d0
MEM_LOAD_COMPLETED.L1_MISS_ANY, 0xfd43
MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD, 0x4d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT, 0x2d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM, 0x4d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS, 0x1d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_NONE, 0x8d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD, 0x2d2
MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM, 0x1d3
MEM_LOAD_MISC_RETIRED.UC, 0x4d4
MEM_LOAD_RETIRED.FB_HIT, 0x40d1
MEM_LOAD_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_RETIRED.L1_MISS, 0x8d1
MEM_LOAD_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_RETIRED.L2_MISS, 0x10d1
MEM_LOAD_RETIRED.L3_HIT, 0x4d1
MEM_LOAD_RETIRED.L3_MISS, 0x20d1
MEM_LOAD_UOPS_RETIRED.DRAM_HIT, 0x80d1
MEM_LOAD_UOPS_RETIRED.HITM, 0x20d1
MEM_LOAD_UOPS_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_UOPS_RETIRED.L1_MISS, 0x8d1
MEM_LOAD_UOPS_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_UOPS_RETIRED.L2_MISS, 0x10d1
MEM_LOAD_UOPS_RETIRED.L3_HIT, 0x4d1
MEM_LOAD_UOPS_RETIRED_MISC.HIT_E_F, 0x40d2
MEM_LOAD_UOPS_RETIRED_MISC.L3_MISS, 0x20d2
