UNC_CHA_TOR_INSERTS.IA_WBMTOE, 0xcc2fff0135
UNC_CHA_TOR_INSERTS.IA_WBMTOI, 0xcc27ff0135
UNC_CHA_TOR_INSERTS.IA_WBSTOI, 0xcc67ff0135
UNC_CHA_TOR_INSERTS.IA_WCIL, 0xc86fff0135
UNC_CHA_TOR_INSERTS.IA_WCILF, 0xc867ff0135
UNC_CHA_TOR_INSERTS.IO, 0xc001ff0435
UNC_CHA_TOR_INSERTS.IO_CLFLUSH, 0xc8c3ff0435
UNC_CHA_TOR_INSERTS.IO_HIT, 0xc001fd0435
UNC_CHA_TOR_INSERTS.IO_HIT_ITOM, 0xcc43fd0435
UNC_CHA_TOR_INSERTS.IO_HIT_ITOMCACHENEAR, 0xcd43fd0435
UNC_CHA_TOR_INSERTS.IO_HIT_PCIRDCUR, 0xc8f3fd0435
UNC_CHA_TOR_INSERTS.IO_HIT_RFO, 0xc803fd0435
UNC_CHA_TOR_INSERTS.IO_ITOM, 0xcc43ff0435
UNC_CHA_TOR_INSERTS.IO_ITOMCACHENEAR, 0xcd43ff0435
UNC_CHA_TOR_INSERTS.IO_ITOMCACHENEAR_LOCAL, 0xcd42ff0435
UNC_CHA_TOR_INSERTS.IO_ITOMCACHENEAR_REMOTE, 0xcd437f0435
UNC_CHA_TOR_INSERTS.IO_ITOM_LOCAL, 0xcc42ff0435
UNC_CHA_TOR_INSERTS.IO_ITOM_REMOTE, 0xcc437f0435
UNC_CHA_TOR_INSERTS.IO_MISS, 0xc001fe0435
UNC_CHA_TOR_INSERTS.IO_MISS_ITOM, 0xcc43fe0435
UNC_CHA_TOR_INSERTS.IO_MISS_ITOMCACHENEAR, 0xcd43fe0435
UNC_CHA_TOR_INSERTS.IO_MISS_PCIRDCUR, 0xc8f3fe0435
UNC_CHA_TOR_INSERTS.IO_MISS_RFO, 0xc803fe0435
UNC_CHA_TOR_INSERTS.IO_PCIRDCUR, 0xc8f3ff0435
UNC_CHA_TOR_INSERTS.IO_PCIRDCUR_LOCAL, 0xc8f2ff0435
UNC_CHA_TOR_INSERTS.IO_PCIRDCUR_REMOTE, 0xc8f37f0435
UNC_CHA_TOR_INSERTS.IO_RFO, 0xc803ff0435
UNC_CHA_TOR_INSERTS.IO_WBMTOI, 0xcc23ff0435
UNC_CHA_TOR_INSERTS.LLC_OR_SF_EVICTIONS, 0xc001ff0235
UNC_CHA_TOR_INSERTS.LOC_ALL, 0xc000ff0535
UNC_CHA_TOR_INSERTS.LOC_IA, 0xc000ff0135
UNC_CHA_TOR_INSERTS.LOC_IO, 0xc000ff0435
UNC_CHA_TOR_INSERTS.REM_ALL, 0xc001ffc835
UNC_CHA_TOR_INSERTS.REM_SNPS, 0xc001ff0835
UNC_CHA_TOR_OCCUPANCY.ALL, 0xc001ffff36
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_CLFLUSH, 0x78c8c7fd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_FSRDCUR, 0x78c8effd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_FSRDCURPTL, 0x78c9effd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_ITOM, 0x78cc47fd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_ITOMWR, 0x78cc4ffd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_MEMPUSHWR, 0x78cc6ffd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_WCIL, 0x78c86ffd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_WCILF, 0x78c867fd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_WIL, 0x78c87ffd2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_CLFLUSH, 0x78c8c7fe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_FSRDCUR, 0x78c8effe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_FSRDCURPTL, 0x78c9effe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_ITOM, 0x78cc47fe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_ITOMWR, 0x78cc4ffe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_MEMPUSHWR, 0x78cc6ffe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_WCIL, 0x78c86ffe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_WCILF, 0x78c867fe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_WIL, 0x78c87ffe2036
UNC_CHA_TOR_OCCUPANCY.IA, 0xc001ff0136
UNC_CHA_TOR_OCCUPANCY.IA_CLFLUSH, 0xc8c7ff0136
UNC_CHA_TOR_OCCUPANCY.IA_CRD, 0xc80fff0136
UNC_CHA_TOR_OCCUPANCY.IA_CRD_PREF, 0xc88fff0136
UNC_CHA_TOR_OCCUPANCY.IA_DRD, 0xc817ff0136
UNC_CHA_TOR_OCCUPANCY.IA_DRDPTE, 0xc837ff0136
UNC_CHA_TOR_OCCUPANCY.IA_DRD_PREF, 0xc897ff0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT, 0xc001fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_CRD, 0xc80ffd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_CRD_PREF, 0xc88ffd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_CXL_ACC, 0x10c001810136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_DRD, 0xc817fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_DRDPTE, 0xc837fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_DRD_PREF, 0xc897fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_ITOM, 0xcc47fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LLCPREFCODE, 0xcccffd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LLCPREFDATA, 0xccd7fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LLCPREFRFO, 0xccc7fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_RFO, 0xc807fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_RFO_PREF, 0xc887fd0136
UNC_CHA_TOR_OCCUPANCY.IA_ITOM, 0xcc47ff0136
UNC_CHA_TOR_OCCUPANCY.IA_ITOMCACHENEAR, 0xcd47ff0136
UNC_CHA_TOR_OCCUPANCY.IA_LLCPREFCODE, 0xcccfff0136
