LD_HEAD.ANY, 0x7f05
SERIALIZATION.NON_C01_MS_SCB, 0x275
TOPDOWN.BACKEND_BOUND_SLOTS, 0x2a4
TOPDOWN.BAD_SPEC_SLOTS, 0x4a4
TOPDOWN.BR_MISPREDICT_SLOTS, 0x8a4
TOPDOWN.MEMORY_BOUND_SLOTS, 0x10a4
TOPDOWN.SLOTS_P, 0x1a4
TOPDOWN_BAD_SPECULATION.ALL_P, 0x73
TOPDOWN_BAD_SPECULATION.FASTNUKE, 0x273
TOPDOWN_BAD_SPECULATION.MACHINE_CLEARS, 0x373
TOPDOWN_BAD_SPECULATION.MISPREDICT, 0x473
TOPDOWN_BAD_SPECULATION.NUKE, 0x173
TOPDOWN_BE_BOUND.ALL, 0x2a4
TOPDOWN_BE_BOUND.ALLOC_RESTRICTIONS, 0x174
TOPDOWN_BE_BOUND.ALL_NON_ARCH, 0x74
TOPDOWN_BE_BOUND.ALL_P, 0x2a4
TOPDOWN_BE_BOUND.MEM_SCHEDULER, 0x274
TOPDOWN_BE_BOUND.NON_MEM_SCHEDULER, 0x874
TOPDOWN_BE_BOUND.REGISTER, 0x2074
TOPDOWN_BE_BOUND.REORDER_BUFFER, 0x4074
TOPDOWN_BE_BOUND.SERIALIZATION, 0x1074
TOPDOWN_FE_BOUND.ALL_NON_ARCH, 0x71
TOPDOWN_FE_BOUND.ALL_P, 0x19c
TOPDOWN_FE_BOUND.BRANCH_DETECT, 0x271
TOPDOWN_FE_BOUND.BRANCH_RESTEER, 0x4071
TOPDOWN_FE_BOUND.CISC, 0x171
TOPDOWN_FE_BOUND.DECODE, 0x871
TOPDOWN_FE_BOUND.FRONTEND_BANDWIDTH, 0x8d71
TOPDOWN_FE_BOUND.FRONTEND_LATENCY, 0x7271
TOPDOWN_FE_BOUND.ITLB_MISS, 0x1071
TOPDOWN_FE_BOUND.OTHER, 0x8071
TOPDOWN_FE_BOUND.PREDECODE, 0x471
TOPDOWN_RETIRING.ALL_NON_ARCH, 0x72
TOPDOWN_RETIRING.ALL_P, 0x2c2
UOPS_DECODED.DEC0_UOPS, 0x176
UOPS_DISPATCHED.ALU, 0x2b2
UOPS_DISPATCHED.INT_EU_ALL, 0x1b2
UOPS_DISPATCHED.JMP, 0x40b2
UOPS_DISPATCHED.LOAD, 0x4b2
UOPS_DISPATCHED.SHIFT, 0x20b2
UOPS_DISPATCHED.SLOW, 0x8b2
UOPS_DISPATCHED.STA, 0x80b2
UOPS_DISPATCHED.STD, 0x10b2
UOPS_EXECUTED.CYCLES_GE_1, 0x1b1
UOPS_EXECUTED.CYCLES_GE_2, 0x1b1
UOPS_EXECUTED.CYCLES_GE_3, 0x1b1
UOPS_EXECUTED.CYCLES_GE_4, 0x1b1
UOPS_EXECUTED.STALLS, 0x1b1
UOPS_EXECUTED.THREAD, 0x1b1
UOPS_EXECUTED.X87, 0x10b1
UOPS_ISSUED.ANY, 0xe
UOPS_ISSUED.ANY, 0x1ae
UOPS_ISSUED.CYCLES, 0x1ae
UOPS_RETIRED.ALL, 0xc2
UOPS_RETIRED.CYCLES, 0x2c2
UOPS_RETIRED.HEAVY, 0x1c2
UOPS_RETIRED.IDIV, 0x10c2
UOPS_RETIRED.LSD, 0x4c2
UOPS_RETIRED.MS, 0x1c2
UOPS_RETIRED.MS, 0x4c2
UOPS_RETIRED.MS_SWITCHES, 0x4c2
UOPS_RETIRED.SLOTS, 0x2c2
UOPS_RETIRED.STALLS, 0x2c2
UOPS_RETIRED.X87, 0x20c2
CORE_REJECT_L2Q.ANY, 0x31
DL1.DIRTY_EVICTION, 0x151
L1D.L0_REPLACEMENT, 0x151
L1D.REPLACEMENT, 0x551
L1D_MISS.FB_FULL, 0x249
L1D_MISS.L2_STALLS, 0x449
L1D_MISS.LOAD, 0x149
L1D_PENDING.LOAD, 0x148
L1D_PENDING.LOAD_CYCLES, 0x148
L2_LINES_IN.ALL, 0x1f25
L2_LINES_IN.E, 0x425
L2_LINES_IN.F, 0x1025
L2_LINES_IN.I, 0x125
L2_LINES_IN.M, 0x825
L2_LINES_IN.S, 0x225
L2_LINES_OUT.NON_SILENT, 0x226
L2_LINES_OUT.NON_SILENT, 0x226
L2_LINES_OUT.SILENT, 0x126
L2_LINES_OUT.SILENT, 0x126
L2_LINES_OUT.USELESS_HWPF, 0x426
L2_LINES_OUT.USELESS_HWPF, 0x426
L2_PREFETCHES_THROTTLED.DPT, 0x128
L2_PREFETCHES_THROTTLED.DTP, 0x228
L2_PREFETCHES_THROTTLED.DTP_OVERRIDE, 0x428
L2_PREFETCHES_THROTTLED.XQ_THRESH, 0x828
L2_REJECT_XQ.ANY, 0x30
L2_REQUEST.ALL, 0x724
L2_REQUEST.ALL, 0xff24
L2_REQUEST.HIT, 0x224
L2_REQUEST.MISS, 0x124
L2_REQUEST.MISS, 0x3f24
L2_REQUEST.REJECTS, 0x424
L2_RQSTS.ALL_CODE_RD, 0xe424
L2_RQSTS.ALL_DEMAND_DATA_RD, 0xe124
L2_RQSTS.ANY, 0xff24
L2_RQSTS.CODE_RD_HIT, 0x4424
L2_RQSTS.CODE_RD_MISS, 0x2424
L2_RQSTS.DEMAND_DATA_RD_HIT, 0x4124
L2_RQSTS.DEMAND_DATA_RD_MISS, 0x2124
L2_RQSTS.MISS, 0x3f24
L2_RQSTS.REFERENCES, 0xff24
L2_RQSTS.RFO_HIT, 0x4224
L2_RQSTS.RFO_MISS, 0x2224
LLC_PREFETCHES_THROTTLED.DPT, 0x129
LLC_PREFETCHES_THROTTLED.DTP, 0x229
LLC_PREFETCHES_THROTTLED.DTP_OVERRIDE, 0x429
LLC_PREFETCHES_THROTTLED.HIT_RATE, 0x1029
LLC_PREFETCHES_THROTTLED.XQ_THRESH, 0x829
LOCK_CYCLES.CACHE_LOCK_DURATION, 0x242
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
