cycle_activity.stalls_l3_miss, 0x6a3
unc_cha_rxc_req_q0_retry.bl_ncb_vn0, 0x102a
unc_cha_rxc_req_q0_retry.bl_ncs_vn0, 0x202a
unc_cha_rxc_req_q0_retry.bl_rsp_vn0, 0x42a
unc_cha_rxc_req_q0_retry.bl_wb_vn0, 0x82a
unc_cha_rxc_req_q0_retry.iv_non_upi, 0x802a
unc_cha_rxc_req_q1_retry.allow_snp, 0x402b
unc_cha_rxc_req_q1_retry.any0, 0x12b
unc_cha_rxc_req_q1_retry.ha, 0x22b
unc_cha_rxc_req_q1_retry.llc_or_sf_way, 0x202b
unc_cha_rxc_req_q1_retry.llc_victim, 0x42b
unc_cha_rxc_req_q1_retry.pa_match, 0x802b
unc_cha_rxc_req_q1_retry.sf_victim, 0x82b
unc_cha_rxc_req_q1_retry.victim, 0x102b
unc_cha_rxc_rrq0_reject.ad_req_vn0, 0x126
unc_cha_rxc_rrq0_reject.ad_rsp_vn0, 0x226
unc_cha_rxc_rrq0_reject.ak_non_upi, 0x4026
unc_cha_rxc_rrq0_reject.bl_ncb_vn0, 0x1026
unc_cha_rxc_rrq0_reject.bl_ncs_vn0, 0x2026
unc_cha_rxc_rrq0_reject.bl_rsp_vn0, 0x426
unc_cha_rxc_rrq0_reject.bl_wb_vn0, 0x826
unc_cha_rxc_rrq0_reject.iv_non_upi, 0x8026
unc_cha_rxc_rrq1_reject.allow_snp, 0x4027
unc_cha_rxc_rrq1_reject.any0, 0x127
unc_cha_rxc_rrq1_reject.ha, 0x227
unc_cha_rxc_rrq1_reject.llc_or_sf_way, 0x2027
unc_cha_rxc_rrq1_reject.llc_victim, 0x427
unc_cha_rxc_rrq1_reject.pa_match, 0x8027
unc_cha_rxc_rrq1_reject.sf_victim, 0x827
unc_cha_rxc_rrq1_reject.victim, 0x1027
unc_cha_rxc_wbq0_reject.ad_req_vn0, 0x128
unc_cha_rxc_wbq0_reject.ad_rsp_vn0, 0x228
unc_cha_rxc_wbq0_reject.ak_non_upi, 0x4028
unc_cha_rxc_wbq0_reject.bl_ncb_vn0, 0x1028
unc_cha_rxc_wbq0_reject.bl_ncs_vn0, 0x2028
unc_cha_rxc_wbq0_reject.bl_rsp_vn0, 0x428
unc_cha_rxc_wbq0_reject.bl_wb_vn0, 0x828
unc_cha_rxc_wbq0_reject.iv_non_upi, 0x8028
unc_cha_rxc_wbq1_reject.allow_snp, 0x4029
unc_cha_rxc_wbq1_reject.any0, 0x129
unc_cha_rxc_wbq1_reject.ha, 0x229
unc_cha_rxc_wbq1_reject.llc_or_sf_way, 0x2029
unc_cha_rxc_wbq1_reject.llc_victim, 0x429
unc_cha_rxc_wbq1_reject.pa_match, 0x8029
unc_cha_rxc_wbq1_reject.sf_victim, 0x829
unc_cha_rxc_wbq1_reject.victim, 0x1029
unc_cha_snoops_sent.all, 0x151
unc_cha_snoops_sent.bcst_local, 0x1051
unc_cha_snoops_sent.bcst_remote, 0x2051
unc_cha_snoops_sent.direct_local, 0x4051
unc_cha_snoops_sent.direct_remote, 0x8051
unc_cha_snoops_sent.local, 0x451
unc_cha_snoops_sent.remote, 0x851
unc_cha_snoop_resp.rspcnflct, 0x405c
unc_cha_snoop_resp.rspfwd, 0x805c
unc_cha_snoop_resp.rspfwdwb, 0x205c
unc_cha_snoop_resp.rspi, 0x15c
unc_cha_snoop_resp.rspifwd, 0x45c
unc_cha_snoop_resp.rsps, 0x25c
unc_cha_snoop_resp.rspsfwd, 0x85c
unc_cha_snoop_resp.rspwb, 0x105c
unc_cha_snoop_resp_local.rspcnflct, 0x405d
unc_cha_snoop_resp_local.rspfwd, 0x805d
unc_cha_snoop_resp_local.rspfwdwb, 0x205d
unc_cha_snoop_resp_local.rspi, 0x15d
unc_cha_snoop_resp_local.rspifwd, 0x45d
unc_cha_snoop_resp_local.rsps, 0x25d
unc_cha_snoop_resp_local.rspsfwd, 0x85d
unc_cha_snoop_resp_local.rspwb, 0x105d
unc_cha_snoop_rsp_misc.mtoi_rspdatam, 0x26b
unc_cha_snoop_rsp_misc.mtoi_rspifwdm, 0x16b
