HLE_RETIRED.ABORTED, 0x4c8
UOPS_EXECUTED_PORT.PORT_6_CORE, 0x40a1
UOPS_EXECUTED_PORT.PORT_7, 0x80a1
UOPS_EXECUTED_PORT.PORT_7_CORE, 0x80a1
UOPS_ISSUED.ANY, 0x10e
UOPS_ISSUED.CORE_STALL_CYCLES, 0x10e
UOPS_ISSUED.FLAGS_MERGE, 0x100e
UOPS_ISSUED.SINGLE_MUL, 0x400e
UOPS_ISSUED.SLOW_LEA, 0x200e
UOPS_ISSUED.STALL_CYCLES, 0x10e
UOPS_RETIRED.ALL, 0x1c2
UOPS_RETIRED.CORE_STALL_CYCLES, 0x1c2
UOPS_RETIRED.RETIRE_SLOTS, 0x2c2
UOPS_RETIRED.STALL_CYCLES, 0x1c2
UOPS_RETIRED.TOTAL_CYCLES, 0x1c2
L1D.REPLACEMENT, 0x151
L1D_PEND_MISS.FB_FULL, 0x248
L1D_PEND_MISS.PENDING, 0x148
L1D_PEND_MISS.PENDING_CYCLES, 0x148
L1D_PEND_MISS.PENDING_CYCLES_ANY, 0x148
L1D_PEND_MISS.REQUEST_FB_FULL, 0x248
L2_DEMAND_RQSTS.WB_HIT, 0x5027
L2_LINES_IN.ALL, 0x7f1
L2_LINES_IN.E, 0x4f1
L2_LINES_IN.I, 0x1f1
L2_LINES_IN.S, 0x2f1
L2_LINES_OUT.DEMAND_CLEAN, 0x5f2
L2_LINES_OUT.DEMAND_DIRTY, 0x6f2
L2_RQSTS.ALL_CODE_RD, 0xe424
L2_RQSTS.ALL_DEMAND_DATA_RD, 0xe124
L2_RQSTS.ALL_DEMAND_MISS, 0x2724
L2_RQSTS.ALL_DEMAND_REFERENCES, 0xe724
L2_RQSTS.ALL_PF, 0xf824
L2_RQSTS.ALL_RFO, 0xe224
L2_RQSTS.CODE_RD_HIT, 0xc424
L2_RQSTS.CODE_RD_MISS, 0x2424
L2_RQSTS.DEMAND_DATA_RD_HIT, 0xc124
L2_RQSTS.DEMAND_DATA_RD_MISS, 0x2124
L2_RQSTS.L2_PF_HIT, 0xd024
L2_RQSTS.L2_PF_MISS, 0x3024
L2_RQSTS.MISS, 0x3f24
L2_RQSTS.REFERENCES, 0xff24
L2_RQSTS.RFO_HIT, 0xc224
L2_RQSTS.RFO_MISS, 0x2224
L2_TRANS.ALL_PF, 0x8f0
L2_TRANS.ALL_REQUESTS, 0x80f0
L2_TRANS.CODE_RD, 0x4f0
L2_TRANS.DEMAND_DATA_RD, 0x1f0
L2_TRANS.L1D_WB, 0x10f0
L2_TRANS.L2_FILL, 0x20f0
L2_TRANS.L2_WB, 0x40f0
L2_TRANS.RFO, 0x2f0
LOCK_CYCLES.CACHE_LOCK_DURATION, 0x263
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT, 0x2d2
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM, 0x4d2
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS, 0x1d2
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE, 0x8d2
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM, 0x1d3
MEM_LOAD_UOPS_RETIRED.HIT_LFB, 0x40d1
MEM_LOAD_UOPS_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_UOPS_RETIRED.L1_MISS, 0x8d1
MEM_LOAD_UOPS_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_UOPS_RETIRED.L2_MISS, 0x10d1
MEM_LOAD_UOPS_RETIRED.L3_HIT, 0x4d1
MEM_LOAD_UOPS_RETIRED.L3_MISS, 0x20d1
MEM_UOPS_RETIRED.ALL_LOADS, 0x81d0
MEM_UOPS_RETIRED.ALL_STORES, 0x82d0
MEM_UOPS_RETIRED.LOCK_LOADS, 0x21d0
MEM_UOPS_RETIRED.SPLIT_LOADS, 0x41d0
MEM_UOPS_RETIRED.SPLIT_STORES, 0x42d0
MEM_UOPS_RETIRED.STLB_MISS_LOADS, 0x11d0
MEM_UOPS_RETIRED.STLB_MISS_STORES, 0x12d0
OFFCORE_REQUESTS.ALL_DATA_RD, 0x8b0
OFFCORE_REQUESTS.DEMAND_CODE_RD, 0x2b0
OFFCORE_REQUESTS.DEMAND_DATA_RD, 0x1b0
OFFCORE_REQUESTS.DEMAND_RFO, 0x4b0
OFFCORE_REQUESTS_BUFFER.SQ_FULL, 0x1b2
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD, 0x860
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD, 0x860
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD, 0x160
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO, 0x460
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD, 0x260
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD, 0x160
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD_GE_6, 0x160
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO, 0x460
SQ_MISC.SPLIT_LOCK, 0x10f4
