hle_retired.aborted, 0x4c8
unc_h_tracker_occupancy.invitoe_local, 0x4004
unc_h_tracker_occupancy.invitoe_remote, 0x8004
unc_h_tracker_occupancy.reads_local, 0x404
unc_h_tracker_occupancy.reads_remote, 0x804
unc_h_tracker_occupancy.writes_local, 0x1004
unc_h_tracker_occupancy.writes_remote, 0x2004
unc_h_tracker_pending_occupancy.local, 0x105
unc_h_tracker_pending_occupancy.remote, 0x205
unc_h_txr_ad.hom, 0x40f
unc_h_txr_ad_cycles_full.all, 0x32a
unc_h_txr_ad_cycles_full.sched0, 0x12a
unc_h_txr_ad_cycles_full.sched1, 0x22a
unc_h_txr_ad_cycles_ne.all, 0x329
unc_h_txr_ad_cycles_ne.sched0, 0x129
unc_h_txr_ad_cycles_ne.sched1, 0x229
unc_h_txr_ad_inserts.all, 0x327
unc_h_txr_ad_inserts.sched0, 0x127
unc_h_txr_ad_inserts.sched1, 0x227
unc_h_txr_ak_cycles_full.all, 0x332
unc_h_txr_ak_cycles_full.sched0, 0x132
unc_h_txr_ak_cycles_full.sched1, 0x232
unc_h_txr_ak_cycles_ne.all, 0x331
unc_h_txr_ak_cycles_ne.sched0, 0x131
unc_h_txr_ak_cycles_ne.sched1, 0x231
unc_h_txr_ak_inserts.all, 0x32f
unc_h_txr_ak_inserts.sched0, 0x12f
