UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO, 0xc807fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO_CXL_ACC, 0x10c807820136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO_LOCAL, 0xc806fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO_PREF, 0xc887fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO_PREF_CXL_ACC, 0x10ccc7820136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO_PREF_LOCAL, 0xc886fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO_PREF_REMOTE, 0xc8877e0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO_REMOTE, 0xc8077e0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_UCRDF, 0xc877de0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_WCIL, 0xc86ffe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_WCILF, 0xc867fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_WCILF_DDR, 0xc867860136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_WCILF_PMM, 0xc8678a0136
