CYCLE_ACTIVITY.STALLS_L3_MISS, 0x6a3
UNC_CHA_LLC_VICTIMS.LOCAL_ONLY, 0x37
UNC_CHA_LLC_VICTIMS.LOCAL_S, 0x200437
UNC_CHA_LLC_VICTIMS.M_STATE, 0x137
UNC_CHA_LLC_VICTIMS.REMOTE_ALL, 0x800f37
UNC_CHA_LLC_VICTIMS.REMOTE_E, 0x800237
UNC_CHA_LLC_VICTIMS.REMOTE_M, 0x800137
UNC_CHA_LLC_VICTIMS.REMOTE_ONLY, 0x37
UNC_CHA_LLC_VICTIMS.REMOTE_S, 0x800437
UNC_CHA_LLC_VICTIMS.S_STATE, 0x437
UNC_CHA_MISC.CV0_PREF_MISS, 0x2039
UNC_CHA_MISC.CV0_PREF_VIC, 0x1039
UNC_CHA_MISC.RFO_HIT_S, 0x839
UNC_CHA_MISC.RSPI_WAS_FSE, 0x139
UNC_CHA_MISC.WC_ALIASING, 0x239
UNC_CHA_MISC_EXTERNAL.MBE_INST0, 0x1e6
UNC_CHA_MISC_EXTERNAL.MBE_INST1, 0x2e6
UNC_CHA_OSB.LOCAL_INVITOE, 0x155
UNC_CHA_OSB.LOCAL_READ, 0x255
UNC_CHA_OSB.OFF_PWRHEURISTIC, 0x2055
UNC_CHA_OSB.REMOTE_READ, 0x455
UNC_CHA_OSB.REMOTE_READINVITOE, 0x855
UNC_CHA_OSB.RFO_HITS_SNP_BCAST, 0x1055
UNC_CHA_PIPE_REJECT.ADEGRCREDIT, 0x42
UNC_CHA_PIPE_REJECT.AKEGRCREDIT, 0x42
UNC_CHA_PIPE_REJECT.ALLRSFWAYS_RES, 0x42
UNC_CHA_PIPE_REJECT.BLEGRCREDIT, 0x42
UNC_CHA_PIPE_REJECT.FSF_VICP, 0x42
UNC_CHA_PIPE_REJECT.GOTRACK_ALLOWSNP, 0x442
UNC_CHA_PIPE_REJECT.GOTRACK_ALLWAYRSV, 0x1042
UNC_CHA_PIPE_REJECT.GOTRACK_PAMATCH, 0x242
UNC_CHA_PIPE_REJECT.GOTRACK_WAYMATCH, 0x842
UNC_CHA_PIPE_REJECT.HACREDIT, 0x42
UNC_CHA_PIPE_REJECT.IDX_INPIPE, 0x42
UNC_CHA_PIPE_REJECT.IPQ_SETMATCH_VICP, 0x42
UNC_CHA_PIPE_REJECT.IRQ_PMM, 0x2042
UNC_CHA_PIPE_REJECT.IRQ_SETMATCH_VICP, 0x42
UNC_CHA_PIPE_REJECT.ISMQ_SETMATCH_VICP, 0x42
UNC_CHA_PIPE_REJECT.IVEGRCREDIT, 0x42
UNC_CHA_PIPE_REJECT.LLC_WAYS_RES, 0x42
UNC_CHA_PIPE_REJECT.NOTALLOWSNOOP, 0x42
UNC_CHA_PIPE_REJECT.ONE_FSF_VIC, 0x42
UNC_CHA_PIPE_REJECT.ONE_RSP_CON, 0x42
UNC_CHA_PIPE_REJECT.PMM_MEMMODE_TORMATCH_MULTI, 0x42
UNC_CHA_PIPE_REJECT.PMM_MEMMODE_TOR_MATCH, 0x42
UNC_CHA_PIPE_REJECT.PRQ_PMM, 0x4042
UNC_CHA_PIPE_REJECT.PTL_INPIPE, 0x8042
UNC_CHA_PIPE_REJECT.RMW_SETMATCH, 0x142
UNC_CHA_PIPE_REJECT.RRQ_SETMATCH_VICP, 0x42
UNC_CHA_PIPE_REJECT.SETMATCHENTRYWSCT, 0x42
UNC_CHA_PIPE_REJECT.SF_WAYS_RES, 0x42
UNC_CHA_PIPE_REJECT.TOPA_MATCH, 0x42
UNC_CHA_PIPE_REJECT.TORID_MATCH_GO_P, 0x42
UNC_CHA_PIPE_REJECT.VN_AD_REQ, 0x42
UNC_CHA_PIPE_REJECT.VN_AD_RSP, 0x42
UNC_CHA_PIPE_REJECT.VN_BL_RSP, 0x42
UNC_CHA_PIPE_REJECT.WAY_MATCH, 0x42
UNC_CHA_PMM_MEMMODE_NM_INVITOX.LOCAL, 0x165
UNC_CHA_PMM_MEMMODE_NM_INVITOX.REMOTE, 0x265
UNC_CHA_PMM_MEMMODE_NM_INVITOX.SETCONFLICT, 0x465
