umc_mem_clk, 0x0
local_socket_inbound_data_beats_cfi_4, 0x7ff1e
local_socket_inbound_data_beats_cfi_5, 0x7ff5e
local_socket_inbound_data_beats_cfi_6, 0x7ff9e
local_socket_inbound_data_beats_cfi_7, 0x7ffde
local_socket_inbound_data_beats_cfi_8, 0x7fe1f
local_socket_inbound_data_beats_cfi_9, 0x7fe5f
local_socket_inbound_data_beats_cfi_10, 0x7fe9f
local_socket_inbound_data_beats_cfi_11, 0x7fedf
local_socket_inbound_data_beats_cfi_12, 0x7ff1f
local_socket_inbound_data_beats_cfi_13, 0x7ff5f
local_socket_inbound_data_beats_cfi_14, 0x7ff9f
local_socket_inbound_data_beats_cfi_15, 0x7ffdf
local_socket_outbound_data_beats_cfi_0, 0x7ff1e
local_socket_outbound_data_beats_cfi_1, 0x7ff5e
local_socket_outbound_data_beats_cfi_2, 0x7ff9e
local_socket_outbound_data_beats_cfi_3, 0x7ffde
local_socket_outbound_data_beats_cfi_4, 0x7ff1e
local_socket_outbound_data_beats_cfi_5, 0x7ff5e
local_socket_outbound_data_beats_cfi_6, 0x7ff9e
local_socket_outbound_data_beats_cfi_7, 0x7ffde
local_socket_outbound_data_beats_cfi_8, 0x7ff1f
local_socket_outbound_data_beats_cfi_9, 0x7ff5f
local_socket_outbound_data_beats_cfi_10, 0x7ff9f
local_socket_outbound_data_beats_cfi_11, 0x7ffdf
local_socket_outbound_data_beats_cfi_12, 0x7ff1f
local_socket_outbound_data_beats_cfi_13, 0x7ff5f
local_socket_outbound_data_beats_cfi_14, 0x7ff9f
local_socket_outbound_data_beats_cfi_15, 0x7ffdf
remote_socket_inbound_data_beats_cfi_0, 0xbfe1e
remote_socket_inbound_data_beats_cfi_1, 0xbfe5e
remote_socket_inbound_data_beats_cfi_2, 0xbfe9e
remote_socket_inbound_data_beats_cfi_3, 0xbfede
remote_socket_inbound_data_beats_cfi_4, 0xbff1e
remote_socket_inbound_data_beats_cfi_5, 0xbff5e
remote_socket_inbound_data_beats_cfi_6, 0xbff9e
remote_socket_inbound_data_beats_cfi_7, 0xbffde
remote_socket_inbound_data_beats_cfi_8, 0xbfe1f
remote_socket_inbound_data_beats_cfi_9, 0xbfe5f
remote_socket_inbound_data_beats_cfi_10, 0xbfe9f
remote_socket_inbound_data_beats_cfi_11, 0xbfedf
remote_socket_inbound_data_beats_cfi_12, 0xbff1f
remote_socket_inbound_data_beats_cfi_13, 0xbff5f
remote_socket_inbound_data_beats_cfi_14, 0xbff9f
remote_socket_inbound_data_beats_cfi_15, 0xbffdf
remote_socket_outbound_data_beats_cfi_0, 0xbff1e
remote_socket_outbound_data_beats_cfi_1, 0xbff5e
remote_socket_outbound_data_beats_cfi_2, 0xbff9e
remote_socket_outbound_data_beats_cfi_3, 0xbffde
remote_socket_outbound_data_beats_cfi_4, 0xbff1e
