misalign_mem_ref.store, 0x205
offcore_requests_outstanding.demand.read_data_not_empty, 0x160
offcore_requests_outstanding.demand.rfo, 0x460
offcore_requests_outstanding.demand.rfo_not_empty, 0x460
offcore_requests_sq_full, 0x1b2
offcore_response.any_data.all_local_dram_and_remote_cache_hit_0, 0x1b7, 0x5011
offcore_response.any_data.all_local_dram_and_remote_cache_hit_1, 0x1bb, 0x5011
offcore_response.any_data.any_cache_dram_0, 0x1b7, 0x7f11
offcore_response.any_data.any_cache_dram_1, 0x1bb, 0x7f11
offcore_response.any_data.any_location_0, 0x1b7, 0xff11
offcore_response.any_data.any_location_1, 0x1bb, 0xff11
offcore_response.any_data.io_csr_mmio_0, 0x1b7, 0x8011
offcore_response.any_data.io_csr_mmio_1, 0x1bb, 0x8011
offcore_response.any_data.llc_hit_no_other_core_0, 0x1b7, 0x111
offcore_response.any_data.llc_hit_no_other_core_1, 0x1bb, 0x111
offcore_response.any_data.llc_hit_other_core_hit_0, 0x1b7, 0x211
offcore_response.any_data.llc_hit_other_core_hit_1, 0x1bb, 0x211
offcore_response.any_data.llc_hit_other_core_hitm_0, 0x1b7, 0x411
offcore_response.any_data.llc_hit_other_core_hitm_1, 0x1bb, 0x411
offcore_response.any_data.local_cache_0, 0x1b7, 0x711
offcore_response.any_data.local_cache_1, 0x1bb, 0x711
offcore_response.any_data.local_dram_and_remote_cache_hit_0, 0x1b7, 0x1011
offcore_response.any_data.local_dram_and_remote_cache_hit_1, 0x1bb, 0x1011
offcore_response.any_data.remote_cache_hitm_0, 0x1b7, 0x811
offcore_response.any_data.remote_cache_hitm_1, 0x1bb, 0x811
offcore_response.any_ifetch.all_local_dram_and_remote_cache_hit_0, 0x1b7, 0x5044
offcore_response.any_ifetch.all_local_dram_and_remote_cache_hit_1, 0x1bb, 0x5044
offcore_response.any_ifetch.any_cache_dram_0, 0x1b7, 0x7f44
offcore_response.any_ifetch.any_cache_dram_1, 0x1bb, 0x7f44
offcore_response.any_ifetch.any_location_0, 0x1b7, 0xff44
offcore_response.any_ifetch.any_location_1, 0x1bb, 0xff44
offcore_response.any_ifetch.io_csr_mmio_0, 0x1b7, 0x8044
offcore_response.any_ifetch.io_csr_mmio_1, 0x1bb, 0x8044
offcore_response.any_ifetch.llc_hit_no_other_core_0, 0x1b7, 0x144
offcore_response.any_ifetch.llc_hit_no_other_core_1, 0x1bb, 0x144
offcore_response.any_ifetch.llc_hit_other_core_hit_0, 0x1b7, 0x244
offcore_response.any_ifetch.llc_hit_other_core_hit_1, 0x1bb, 0x244
offcore_response.any_ifetch.llc_hit_other_core_hitm_0, 0x1b7, 0x444
offcore_response.any_ifetch.llc_hit_other_core_hitm_1, 0x1bb, 0x444
offcore_response.any_ifetch.local_cache_0, 0x1b7, 0x744
offcore_response.any_ifetch.local_cache_1, 0x1bb, 0x744
offcore_response.any_ifetch.local_dram_and_remote_cache_hit_0, 0x1b7, 0x1044
offcore_response.any_ifetch.local_dram_and_remote_cache_hit_1, 0x1bb, 0x1044
offcore_response.any_ifetch.remote_cache_hitm_0, 0x1b7, 0x844
offcore_response.any_ifetch.remote_cache_hitm_1, 0x1bb, 0x844
offcore_response.any_request.all_local_dram_and_remote_cache_hit_0, 0x1b7, 0x50ff
offcore_response.any_request.all_local_dram_and_remote_cache_hit_1, 0x1bb, 0x50ff
offcore_response.any_request.any_cache_dram_0, 0x1b7, 0x7fff
offcore_response.any_request.any_cache_dram_1, 0x1bb, 0x7fff
offcore_response.any_request.any_location_0, 0x1b7, 0xffff
offcore_response.any_request.any_location_1, 0x1bb, 0xffff
offcore_response.any_request.io_csr_mmio_0, 0x1b7, 0x80ff
offcore_response.any_request.io_csr_mmio_1, 0x1bb, 0x80ff
offcore_response.any_request.llc_hit_no_other_core_0, 0x1b7, 0x1ff
offcore_response.any_request.llc_hit_no_other_core_1, 0x1bb, 0x1ff
offcore_response.any_request.llc_hit_other_core_hit_0, 0x1b7, 0x2ff
offcore_response.any_request.llc_hit_other_core_hit_1, 0x1bb, 0x2ff
offcore_response.any_request.llc_hit_other_core_hitm_0, 0x1b7, 0x4ff
offcore_response.any_request.llc_hit_other_core_hitm_1, 0x1bb, 0x4ff
offcore_response.any_request.local_cache_0, 0x1b7, 0x7ff
offcore_response.any_request.local_cache_1, 0x1bb, 0x7ff
offcore_response.any_request.local_dram_and_remote_cache_hit_0, 0x1b7, 0x10ff
offcore_response.any_request.local_dram_and_remote_cache_hit_1, 0x1bb, 0x10ff
offcore_response.any_request.remote_cache_hitm_0, 0x1b7, 0x8ff
offcore_response.any_request.remote_cache_hitm_1, 0x1bb, 0x8ff
offcore_response.any_rfo.all_local_dram_and_remote_cache_hit_0, 0x1b7, 0x5022
offcore_response.any_rfo.all_local_dram_and_remote_cache_hit_1, 0x1bb, 0x5022
offcore_response.any_rfo.any_cache_dram_0, 0x1b7, 0x7f22
offcore_response.any_rfo.any_cache_dram_1, 0x1bb, 0x7f22
offcore_response.any_rfo.any_location_0, 0x1b7, 0xff22
offcore_response.any_rfo.any_location_1, 0x1bb, 0xff22
offcore_response.any_rfo.io_csr_mmio_0, 0x1b7, 0x8022
offcore_response.any_rfo.io_csr_mmio_1, 0x1bb, 0x8022
offcore_response.any_rfo.llc_hit_no_other_core_0, 0x1b7, 0x122
offcore_response.any_rfo.llc_hit_no_other_core_1, 0x1bb, 0x122
offcore_response.any_rfo.llc_hit_other_core_hit_0, 0x1b7, 0x222
offcore_response.any_rfo.llc_hit_other_core_hit_1, 0x1bb, 0x222
offcore_response.any_rfo.llc_hit_other_core_hitm_0, 0x1b7, 0x422
offcore_response.any_rfo.llc_hit_other_core_hitm_1, 0x1bb, 0x422
offcore_response.any_rfo.local_cache_0, 0x1b7, 0x722
offcore_response.any_rfo.local_cache_1, 0x1bb, 0x722
offcore_response.any_rfo.local_dram_and_remote_cache_hit_0, 0x1b7, 0x1022
offcore_response.any_rfo.local_dram_and_remote_cache_hit_1, 0x1bb, 0x1022
offcore_response.any_rfo.remote_cache_hitm_0, 0x1b7, 0x822
offcore_response.any_rfo.remote_cache_hitm_1, 0x1bb, 0x822
offcore_response.corewb.all_local_dram_and_remote_cache_hit_0, 0x1b7, 0x5008
offcore_response.corewb.all_local_dram_and_remote_cache_hit_1, 0x1bb, 0x5008
offcore_response.corewb.any_cache_dram_0, 0x1b7, 0x7f08
offcore_response.corewb.any_cache_dram_1, 0x1bb, 0x7f08
offcore_response.corewb.any_location_0, 0x1b7, 0xff08
