UNC_H_TAD_REQUESTS_G0.REGION1, 0x21b
UNC_H_TAD_REQUESTS_G0.REGION2, 0x41b
UNC_H_TAD_REQUESTS_G0.REGION3, 0x81b
UNC_H_TAD_REQUESTS_G0.REGION4, 0x101b
UNC_H_TAD_REQUESTS_G0.REGION5, 0x201b
UNC_H_TAD_REQUESTS_G0.REGION6, 0x401b
UNC_H_TAD_REQUESTS_G0.REGION7, 0x801b
UNC_H_TAD_REQUESTS_G1.REGION10, 0x41c
UNC_H_TAD_REQUESTS_G1.REGION11, 0x81c
UNC_H_TAD_REQUESTS_G1.REGION8, 0x11c
UNC_H_TAD_REQUESTS_G1.REGION9, 0x21c
UNC_H_TRACKER_CYCLES_NE, 0x3
UNC_H_TxR_AD.HOM, 0x40f
UNC_H_TxR_AD_CYCLES_FULL.ALL, 0x32a
UNC_H_TxR_AD_CYCLES_FULL.SCHED0, 0x12a
UNC_H_TxR_AD_CYCLES_FULL.SCHED1, 0x22a
UNC_H_TxR_AD_CYCLES_NE.ALL, 0x329
UNC_H_TxR_AD_CYCLES_NE.SCHED0, 0x129
UNC_H_TxR_AD_CYCLES_NE.SCHED1, 0x229
UNC_H_TxR_AD_INSERTS.ALL, 0x327
UNC_H_TxR_AD_INSERTS.SCHED0, 0x127
UNC_H_TxR_AD_INSERTS.SCHED1, 0x227
UNC_H_TxR_AD_OCCUPANCY.SCHED0, 0x128
UNC_H_TxR_AD_OCCUPANCY.SCHED1, 0x228
UNC_H_TxR_AK.CRD_CBO, 0x20e
UNC_H_TxR_AK_CYCLES_FULL.ALL, 0x332
UNC_H_TxR_AK_CYCLES_FULL.SCHED0, 0x132
UNC_H_TxR_AK_CYCLES_FULL.SCHED1, 0x232
UNC_H_TxR_AK_CYCLES_NE.ALL, 0x331
UNC_H_TxR_AK_CYCLES_NE.SCHED0, 0x131
UNC_H_TxR_AK_CYCLES_NE.SCHED1, 0x231
UNC_H_TxR_AK_INSERTS.ALL, 0x32f
UNC_H_TxR_AK_INSERTS.SCHED0, 0x12f
UNC_H_TxR_AK_INSERTS.SCHED1, 0x22f
UNC_H_TxR_AK_OCCUPANCY.SCHED0, 0x130
UNC_H_TxR_AK_OCCUPANCY.SCHED1, 0x230
UNC_H_TxR_BL.DRS_CACHE, 0x110
UNC_H_TxR_BL.DRS_CORE, 0x210
UNC_H_TxR_BL.DRS_QPI, 0x410
